dataset,elem1,elem2,ref1_eVatom,ref2_eVatom,n_total,low_n,low_mean_meVatom,low_min,low_max,high_n,high_mean_meVatom,high_min,high_max
bcc_HfNb,Nb,Hf,-10.20132371,-9.95345256,3027,294,1.229896,-11.828567,19.980135,262,33.315055,15.882929,47.502600
bcc_HfTa,Hf,Ta,-9.95345242,-11.64702151,3038,255,22.571993,10.717192,32.032223,287,-105.026357,-183.286906,-34.035975
bcc_HfTi,Ti,Hf,-7.88942159,-9.95345017,3100,300,9.114250,4.443570,14.632388,300,8.245874,4.101134,12.747696
bcc_NbTa,Nb,Ta,-10.20795260,-11.85473858,3084,298,-1.775681,-6.635310,-0.674062,296,-1.535186,-2.464859,-0.717202
bcc_NbTi,Ti,Nb,-7.88942091,-10.19915578,3072,300,18.918678,9.747082,29.077043,300,-8.258089,-17.946988,3.463862
bcc_NbV,V,Nb,-9.11930656,-10.20795260,2938,300,14.065062,6.917382,22.147321,179,7.784345,-186.980770,121.661801
bcc_NbZr,Zr,Nb,-11.85473861,-10.20795293,2515,238,3146.540041,3042.701021,3292.348981,280,212.254169,106.425633,335.376849
bcc_TaTi,Ti,Ta,-7.88942211,-11.64804243,3099,300,6.643409,3.603550,11.184258,300,-105.097266,-188.163779,-51.543625
bcc_TaV,V,Ta,-9.11930656,-11.85473858,2643,299,14.377108,6.815339,22.808611,237,13.072884,-36.219432,21.045737
bcc_TaZr,Zr,Ta,-11.85473861,-11.85473861,2480,240,3144.541894,3052.362543,3248.295698,240,237.499238,118.455557,357.523322
bcc_VZr,V,Zr,-9.14367670,-9.11930658,3099,300,111.905295,49.325016,164.844008,300,599.197545,588.286322,636.212188
