dataset,subfolder,composition,source,elem1,count1,elem2,count2,natoms_from_file,x_Zr,a1_len_A,a2_len_A,a3_len_A,cell_volume_A3,volume_per_atom_A3,equiv_bcc_a_A
bcc_NbZr,Nb-Zr,Zr100Nb28,POSCAR,Nb,28,Zr,100,128,0.781250,14.001984,14.174332,14.183860,2814.988243,21.992096,3.529925
bcc_NbZr,Nb-Zr,Zr104Nb24,POSCAR,Nb,24,Zr,104,128,0.812500,14.024729,14.262430,14.173485,2835.031291,22.148682,3.538284
bcc_NbZr,Nb-Zr,Zr108Nb20,POSCAR,Nb,20,Zr,108,128,0.843750,14.180287,14.180302,14.228817,2860.867137,22.350525,3.548999
bcc_NbZr,Nb-Zr,Zr112Nb16,POSCAR,Nb,16,Zr,112,128,0.875000,14.247087,14.420927,14.035378,2883.441058,22.526883,3.558309
bcc_NbZr,Nb-Zr,Zr116Nb12,POSCAR,Nb,12,Zr,116,128,0.906250,13.895449,14.475233,14.491322,2911.210671,22.743833,3.569696
bcc_NbZr,Nb-Zr,Zr120Nb8,POSCAR,Nb,8,Zr,120,128,0.937500,14.042827,14.897701,14.027132,2933.368880,22.916944,3.578730
bcc_NbZr,Nb-Zr,Zr124Nb4,POSCAR,Nb,4,Zr,124,128,0.968750,14.008661,15.077436,14.011356,2957.727485,23.107246,3.588608
bcc_NbZr,Nb-Zr,Zr12Nb116,POSCAR,Nb,116,Zr,12,128,0.093750,13.323796,13.328580,13.315078,2358.063360,18.422370,3.327554
bcc_NbZr,Nb-Zr,Zr16Nb112,POSCAR,Nb,112,Zr,16,128,0.125000,13.347689,13.363858,13.359880,2377.077556,18.570918,3.336474
bcc_NbZr,Nb-Zr,Zr20Nb108,POSCAR,Nb,108,Zr,20,128,0.156250,13.425648,13.380573,13.369018,2395.324238,18.713471,3.344990
bcc_NbZr,Nb-Zr,Zr24Nb104,POSCAR,Nb,104,Zr,24,128,0.187500,13.424137,13.412434,13.429980,2417.931925,18.890093,3.355480
bcc_NbZr,Nb-Zr,Zr28Nb100,POSCAR,Nb,100,Zr,28,128,0.218750,13.442287,13.489407,13.439715,2436.980821,19.038913,3.364269
bcc_NbZr,Nb-Zr,Zr32Nb96,POSCAR,Nb,96,Zr,32,128,0.250000,13.461006,13.488079,13.526051,2455.817110,19.186071,3.372915
bcc_NbZr,Nb-Zr,Zr36Nb92,POSCAR,Nb,92,Zr,36,128,0.281250,13.559643,13.533174,13.474968,2472.640965,19.317508,3.380599
bcc_NbZr,Nb-Zr,Zr40Nb88,POSCAR,Nb,88,Zr,40,128,0.312500,13.615216,13.504372,13.551298,2491.520334,19.465003,3.389181
bcc_NbZr,Nb-Zr,Zr44Nb84,POSCAR,Nb,84,Zr,44,128,0.343750,13.573880,13.595874,13.610176,2511.652917,19.622288,3.398286
bcc_NbZr,Nb-Zr,Zr48Nb80,POSCAR,Nb,80,Zr,48,128,0.375000,13.637135,13.606800,13.626403,2528.418595,19.753270,3.405830
bcc_NbZr,Nb-Zr,Zr4Nb124,POSCAR,Nb,124,Zr,4,128,0.031250,13.255680,13.258870,13.255458,2323.231725,18.150248,3.311089
bcc_NbZr,Nb-Zr,Zr52Nb76,POSCAR,Nb,76,Zr,52,128,0.406250,13.700977,13.672250,13.626134,2552.396387,19.940597,3.416563
