dataset,composition,case,case_dir,outcar,x_elem2,fe_meVatom,composition_median_meVatom,composition_mad_meVatom,composition_q1_meVatom,composition_q3_meVatom,flag_method
bcc_HfNb,Hf100Nb28,case-9,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf100Nb28/case-9,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf100Nb28/case-9/N0.OUTCAR,0.781250,92.945665,82.570800,1.639490,81.139603,84.552878,mad
bcc_HfNb,Hf120Nb8,case-20,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf120Nb8/case-20,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf120Nb8/case-20/N0.OUTCAR,0.937500,30.300465,31.822964,0.281026,31.478245,32.092077,mad
bcc_HfNb,Hf12Nb116,case-10,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-10,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-10/N0.OUTCAR,0.093750,16.374740,3.618125,1.122282,2.754117,14.908741,mad
bcc_HfNb,Hf12Nb116,case-14,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-14,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-14/N0.OUTCAR,0.093750,17.979623,3.618125,1.122282,2.754117,14.908741,mad
bcc_HfNb,Hf12Nb116,case-19,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-19,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-19/N0.OUTCAR,0.093750,16.168938,3.618125,1.122282,2.754117,14.908741,mad
bcc_HfNb,Hf12Nb116,case-2,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-2,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-2/N0.OUTCAR,0.093750,16.701887,3.618125,1.122282,2.754117,14.908741,mad
bcc_HfNb,Hf12Nb116,case-20,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-20,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-20/N0.OUTCAR,0.093750,15.740972,3.618125,1.122282,2.754117,14.908741,mad
bcc_HfNb,Hf12Nb116,case-22,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-22,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-22/N0.OUTCAR,0.093750,15.291107,3.618125,1.122282,2.754117,14.908741,mad
bcc_HfNb,Hf12Nb116,case-26,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-26,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-26/N0.OUTCAR,0.093750,16.205290,3.618125,1.122282,2.754117,14.908741,mad
bcc_HfNb,Hf12Nb116,case-27,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-27,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-27/N0.OUTCAR,0.093750,16.905246,3.618125,1.122282,2.754117,14.908741,mad
bcc_HfNb,Hf12Nb116,case-33,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-33,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-33/N0.OUTCAR,0.093750,16.751506,3.618125,1.122282,2.754117,14.908741,mad
bcc_HfNb,Hf12Nb116,case-37,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-37,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf-Nb/Hf12Nb116/case-37/N0.OUTCAR,0.093750,18.043173,3.618125,1.122282,2.754117,14.908741,mad
