dataset,composition,n_cases,n_flagged,flag_method,min_fe_meVatom,median_fe_meVatom,max_fe_meVatom,mad_fe_meVatom,iqr_fe_meVatom
bcc_HfNb,Hf100Nb28,97,1,mad,74.657183,82.570800,92.945665,1.639490,3.413275
bcc_HfNb,Hf104Nb24,95,0,mad,73.760241,78.774429,83.325476,1.629710,3.138431
bcc_HfNb,Hf108Nb20,100,0,mad,64.018796,69.186905,72.853743,1.083952,2.226092
bcc_HfNb,Hf112Nb16,91,0,mad,53.386676,58.381640,61.027063,1.119379,2.372641
bcc_HfNb,Hf116Nb12,100,0,mad,43.853933,45.693899,47.502600,0.648853,1.305107
bcc_HfNb,Hf120Nb8,98,1,mad,30.300465,31.822964,32.923532,0.281026,0.613832
bcc_HfNb,Hf124Nb4,64,0,mad,15.882929,16.430701,16.716923,0.147868,0.331162
bcc_HfNb,Hf12Nb116,100,29,mad,0.736029,3.618125,19.980135,1.122282,12.154624
bcc_HfNb,Hf16Nb112,100,30,mad,6.894936,10.368469,35.508049,1.617689,11.588006
bcc_HfNb,Hf20Nb108,100,16,mad,13.048563,16.907398,34.642530,1.786693,9.424223
bcc_HfNb,Hf24Nb104,100,17,mad,19.149242,22.575713,60.789252,1.475472,2.962348
bcc_HfNb,Hf28Nb100,98,5,mad,22.954170,28.731400,152.155538,2.121938,6.759463
bcc_HfNb,Hf32Nb96,100,4,mad,28.286091,34.710689,151.972555,2.927590,7.458099
bcc_HfNb,Hf36Nb92,100,6,mad,33.861773,40.212359,88.628697,3.482070,6.862985
bcc_HfNb,Hf40Nb88,100,2,mad,36.469166,45.200420,76.047060,2.547699,5.084117
bcc_HfNb,Hf44Nb84,100,1,mad,43.284490,49.290434,96.276326,2.651596,5.269758
bcc_HfNb,Hf48Nb80,100,6,mad,42.484339,53.011170,85.976232,2.690135,5.251075
bcc_HfNb,Hf4Nb124,99,45,mad,-11.828567,-10.679894,6.563877,1.044095,16.646356
bcc_HfNb,Hf52Nb76,100,2,mad,50.798193,57.268836,85.383154,2.104772,4.218965
bcc_HfNb,Hf56Nb72,100,7,mad,53.076943,60.437543,94.529049,2.192291,4.477437
bcc_HfNb,Hf60Nb68,98,7,mad,53.573037,63.432240,95.802836,1.988017,4.079601
bcc_HfNb,Hf64Nb64,100,7,mad,57.754713,66.253000,100.273591,2.233745,4.506768
bcc_HfNb,Hf68Nb60,100,4,mad,61.555807,68.818147,105.282661,1.896166,3.877734
bcc_HfNb,Hf72Nb56,97,4,mad,64.668380,71.793744,100.373678,2.187804,4.473900
bcc_HfNb,Hf76Nb52,100,4,mad,66.701409,74.295151,103.223319,1.950617,3.823113
bcc_HfNb,Hf80Nb48,100,3,mad,70.300610,76.119569,104.064683,2.161906,4.269919
bcc_HfNb,Hf84Nb44,97,4,mad,70.659197,77.484583,107.113102,2.047290,3.834438
bcc_HfNb,Hf88Nb40,100,7,mad,69.782952,79.431979,103.422500,1.925308,3.790478
bcc_HfNb,Hf8Nb120,95,27,mad,-5.347256,-3.623742,11.980776,0.930072,14.040834
bcc_HfNb,Hf92Nb36,98,4,mad,71.412908,81.229300,99.411636,2.859730,5.350922
bcc_HfNb,Hf96Nb32,100,1,mad,74.148277,83.122196,98.969912,3.048619,5.815794
bcc_HfTa,Hf100Ta28,100,0,mad,50.647825,55.128971,59.168607,1.476839,2.966878
bcc_HfTa,Hf104Ta24,100,0,mad,47.331780,51.205529,55.293183,1.107787,2.180283
bcc_HfTa,Hf108Ta20,100,0,mad,41.699241,45.900732,48.643949,1.052739,2.067878
bcc_HfTa,Hf112Ta16,100,0,mad,35.154976,39.092448,40.888819,0.952733,1.874236
bcc_HfTa,Hf116Ta12,99,1,mad,28.959614,30.973916,32.032223,0.350084,0.671466
bcc_HfTa,Hf120Ta8,93,1,mad,20.259749,21.507491,22.280031,0.220642,0.492922
bcc_HfTa,Hf124Ta4,63,0,mad,10.717192,11.139410,11.370157,0.119308,0.230233
bcc_HfTa,Hf12Ta116,100,0,mad,-150.919911,-128.062309,-34.035975,22.808633,111.810070
bcc_HfTa,Hf16Ta112,99,36,mad,-134.843247,-130.439838,-22.569085,3.126618,108.412171
bcc_HfTa,Hf20Ta108,99,29,mad,-119.885331,-115.593746,-10.497096,2.587494,104.119647
bcc_HfTa,Hf24Ta104,100,20,mad,-106.041816,-102.318178,-0.283027,1.839926,3.865422
bcc_HfTa,Hf28Ta100,100,25,mad,-92.668009,-88.341457,10.438608,1.897547,7.994906
bcc_HfTa,Hf32Ta96,100,17,mad,-82.047191,-75.204646,20.107354,1.763860,3.410422
bcc_HfTa,Hf36Ta92,100,14,mad,-69.018972,-62.731412,30.389140,1.980612,4.022911
bcc_HfTa,Hf40Ta88,100,15,mad,-55.593615,-50.673572,38.893785,1.973273,4.023211
bcc_HfTa,Hf44Ta84,100,7,mad,-44.096260,-39.477839,4.839697,1.721419,3.322507
bcc_HfTa,Hf48Ta80,100,10,mad,-33.789184,-28.808576,54.087358,1.766383,3.524876
bcc_HfTa,Hf4Ta124,88,42,mad,-183.286906,-63.666006,-59.403301,4.229548,122.924620
bcc_HfTa,Hf52Ta76,99,6,mad,-24.523052,-18.599253,14.019553,1.732703,3.890520
bcc_HfTa,Hf56Ta72,100,10,mad,-15.477700,-8.959568,23.546735,1.822800,3.679327
bcc_HfTa,Hf60Ta68,100,10,mad,-6.717426,0.121959,32.380949,1.762347,3.544681
bcc_HfTa,Hf64Ta64,100,5,mad,1.772160,8.376763,40.670605,2.083745,3.973798
bcc_HfTa,Hf68Ta60,100,9,mad,11.888689,16.575388,43.285615,1.804787,3.435194
bcc_HfTa,Hf72Ta56,100,12,mad,18.714885,25.155175,50.230465,2.224413,4.251904
bcc_HfTa,Hf76Ta52,100,7,mad,27.702461,31.921184,51.074025,1.711498,4.059778
bcc_HfTa,Hf80Ta48,100,3,mad,33.704537,39.445625,54.174254,2.517552,5.103218
bcc_HfTa,Hf84Ta44,100,7,mad,38.022275,45.450072,58.045025,1.551960,3.118855
bcc_HfTa,Hf88Ta40,100,4,mad,44.908518,50.132853,59.813272,1.352659,2.644325
bcc_HfTa,Hf8Ta120,99,48,mad,-166.616964,-50.481222,-46.151201,4.010415,115.452327
bcc_HfTa,Hf92Ta36,100,0,mad,47.683663,53.038519,60.394185,1.518047,3.086898
bcc_HfTa,Hf96Ta32,99,1,mad,50.397735,55.275462,63.669532,1.326771,2.619570
bcc_HfTi,Hf100Ti28,100,0,mad,23.532508,24.753859,26.274359,0.378666,0.736232
bcc_HfTi,Hf104Ti24,100,0,mad,21.063203,22.035511,23.142201,0.276018,0.578816
bcc_HfTi,Hf108Ti20,100,0,mad,18.190091,18.959024,19.944210,0.231138,0.459628
bcc_HfTi,Hf112Ti16,100,0,mad,15.105800,15.745616,16.369260,0.212139,0.420598
bcc_HfTi,Hf116Ti12,100,0,mad,11.609884,12.151759,12.747696,0.163327,0.310746
bcc_HfTi,Hf120Ti8,100,0,mad,7.916050,8.309434,8.703451,0.102052,0.194833
bcc_HfTi,Hf124Ti4,100,0,mad,4.101134,4.277691,4.401476,0.043575,0.088136
bcc_HfTi,Hf12Ti116,100,0,mad,11.822391,13.264693,14.632388,0.285416,0.553566
bcc_HfTi,Hf16Ti112,100,0,mad,15.342650,17.020632,18.613878,0.374673,0.699606
bcc_HfTi,Hf20Ti108,100,0,mad,18.670278,20.387986,22.334898,0.397683,0.802082
bcc_HfTi,Hf24Ti104,100,0,mad,21.547036,23.450200,25.541752,0.460234,0.904412
bcc_HfTi,Hf28Ti100,100,0,mad,24.257045,26.014244,28.780848,0.722765,1.393143
bcc_HfTi,Hf32Ti96,100,0,mad,26.270834,28.579415,30.905352,0.629432,1.253082
bcc_HfTi,Hf36Ti92,100,0,mad,28.338466,30.616468,32.668865,0.610888,1.221764
bcc_HfTi,Hf40Ti88,100,0,mad,30.392454,32.586144,34.751160,0.695686,1.341283
bcc_HfTi,Hf44Ti84,100,0,mad,31.273426,34.018160,36.403120,0.615685,1.233930
bcc_HfTi,Hf48Ti80,100,0,mad,32.215077,35.302661,37.681022,0.716064,1.321669
bcc_HfTi,Hf4Ti124,100,0,mad,4.443570,4.847942,5.232682,0.098112,0.210941
bcc_HfTi,Hf52Ti76,100,0,mad,33.845598,36.095203,38.395016,0.509497,1.008164
bcc_HfTi,Hf56Ti72,100,0,mad,34.788208,36.682503,38.984685,0.893506,1.794199
bcc_HfTi,Hf60Ti68,100,0,mad,34.252628,37.280721,39.798937,0.596849,1.194397
bcc_HfTi,Hf64Ti64,100,0,mad,34.724930,37.040769,39.705647,0.721138,1.397097
bcc_HfTi,Hf68Ti60,100,0,mad,34.795606,36.828523,39.349044,0.568953,1.149662
bcc_HfTi,Hf72Ti56,100,0,mad,33.959711,36.139957,38.657780,0.487321,0.952614
bcc_HfTi,Hf76Ti52,100,1,mad,32.822513,35.560255,38.498883,0.546916,1.069177
bcc_HfTi,Hf80Ti48,100,0,mad,31.989383,34.315955,36.647935,0.642034,1.246648
bcc_HfTi,Hf84Ti44,100,0,mad,31.432471,33.079022,35.213457,0.566481,1.140852
bcc_HfTi,Hf88Ti40,100,0,mad,29.700468,31.340786,33.417888,0.407463,0.811501
bcc_HfTi,Hf8Ti120,100,0,mad,8.584599,9.249804,10.089145,0.220409,0.439794
bcc_HfTi,Hf92Ti36,100,0,mad,27.908458,29.403619,30.738900,0.443523,0.870179
bcc_HfTi,Hf96Ti32,100,0,mad,25.602297,27.246671,28.439934,0.506723,0.989746
bcc_NbTi,Nb100Ti28,100,35,mad,-1.147142,1.978499,44.315051,1.195731,8.695356
bcc_NbTi,Nb104Ti24,100,27,mad,-3.215571,-1.474768,9.906154,0.644145,9.385793
bcc_NbTi,Nb108Ti20,100,14,mad,-6.121605,-4.848331,43.089056,0.578719,1.144285
bcc_NbTi,Nb112Ti16,100,24,mad,-9.031151,-7.943718,5.560457,0.604654,1.933180
bcc_NbTi,Nb116Ti12,100,29,mad,-12.006245,-11.110588,3.463862,0.550121,13.692571
bcc_NbTi,Nb120Ti8,100,30,mad,-15.061666,-14.294938,1.826850,0.387713,15.196728
bcc_NbTi,Nb124Ti4,100,41,mad,-17.946988,-1.072018,-0.276282,0.540556,16.760166
bcc_NbTi,Nb12Ti116,100,0,mad,24.016780,26.969084,29.077043,0.810395,1.480015
bcc_NbTi,Nb16Ti112,100,0,mad,29.791123,33.370985,36.500532,0.784616,1.471991
bcc_NbTi,Nb20Ti108,100,0,mad,34.793161,38.781401,42.396123,0.876470,1.800411
bcc_NbTi,Nb24Ti104,100,0,mad,35.139232,41.065849,45.334567,1.217938,2.527159
bcc_NbTi,Nb28Ti100,100,1,mad,36.600497,42.783218,46.621733,1.057844,2.146276
bcc_NbTi,Nb32Ti96,100,0,mad,39.142625,43.864439,46.498188,0.919851,1.915581
bcc_NbTi,Nb36Ti92,100,0,mad,39.863214,43.239338,47.747571,0.898458,1.755540
bcc_NbTi,Nb40Ti88,100,1,mad,36.782539,41.925257,58.064543,1.042108,2.073831
bcc_NbTi,Nb44Ti84,100,0,mad,36.848027,40.423598,45.175220,1.105920,2.188841
bcc_NbTi,Nb48Ti80,100,3,mad,34.573792,38.668285,52.651675,1.005182,2.338076
bcc_NbTi,Nb4Ti124,100,2,mad,9.747082,10.421865,10.785637,0.108091,0.205273
bcc_NbTi,Nb52Ti76,100,5,mad,31.614865,36.118879,64.366050,1.210862,2.332700
bcc_NbTi,Nb56Ti72,100,2,mad,30.145479,33.588397,61.122896,1.117913,2.274937
bcc_NbTi,Nb60Ti68,100,3,mad,27.289619,31.501983,62.449506,1.595603,3.082268
bcc_NbTi,Nb64Ti64,72,0,mad,24.502192,28.678057,34.505908,1.753688,3.452146
bcc_NbTi,Nb68Ti60,100,3,mad,22.105370,26.426307,43.632499,1.615144,3.285078
bcc_NbTi,Nb72Ti56,100,7,mad,19.123956,22.316159,56.444526,1.660999,3.889639
