x_elem2,fe_raw_meVatom,offset_meVatom,fe_offset_corrected_meVatom
0.78125000,-19.49357986,-72.50047146,53.00689159
0.78125000,-15.01417160,-72.50047146,57.48629986
0.78125000,-23.07271957,-72.50047146,49.42775188
0.78125000,-14.91022110,-72.50047146,57.59025036
0.78125000,-18.51892471,-72.50047146,53.98154674
0.78125000,-16.20912552,-72.50047146,56.29134594
0.78125000,-18.17083359,-72.50047146,54.32963787
0.78125000,-19.17505264,-72.50047146,53.32541882
0.78125000,-19.33526993,-72.50047146,53.16520153
0.78125000,-18.48649979,-72.50047146,54.01397167
0.78125000,-22.06087112,-72.50047146,50.43960033
0.78125000,-15.79713821,-72.50047146,56.70333324
0.78125000,-20.84970474,-72.50047146,51.65076672
0.78125000,-15.14577866,-72.50047146,57.35469280
0.78125000,-16.71361923,-72.50047146,55.78685223
0.78125000,-19.75202560,-72.50047146,52.74844585
0.78125000,-18.40066910,-72.50047146,54.09980236
0.78125000,-21.82435989,-72.50047146,50.67611156
0.78125000,-23.02598953,-72.50047146,49.47448193
0.78125000,-14.58215714,-72.50047146,57.91831432
0.78125000,-21.64316177,-72.50047146,50.85730968
0.78125000,-19.88649368,-72.50047146,52.61397778
0.78125000,-20.72763443,-72.50047146,51.77283703
0.78125000,-19.43254471,-72.50047146,53.06792675
0.78125000,-20.52736282,-72.50047146,51.97310863
0.78125000,-17.97723770,-72.50047146,54.52323376
0.78125000,-19.81210709,-72.50047146,52.68836437
0.78125000,-16.19005203,-72.50047146,56.31041943
0.78125000,-18.79835129,-72.50047146,53.70212017
0.78125000,-19.25802231,-72.50047146,53.24244915
0.78125000,-17.55666733,-72.50047146,54.94380413
0.78125000,-19.65856552,-72.50047146,52.84190594
0.78125000,-17.66538620,-72.50047146,54.83508526
0.78125000,-17.74454117,-72.50047146,54.75593029
0.78125000,-20.19357681,-72.50047146,52.30689465
0.78125000,-13.77439499,-72.50047146,58.72607647
0.78125000,-18.84317398,-72.50047146,53.65729748
0.78125000,-18.01061630,-72.50047146,54.48985516
0.78125000,-19.45352554,-72.50047146,53.04694591
0.78125000,-18.98813248,-72.50047146,53.51233898
0.78125000,-19.61374283,-72.50047146,52.88672863
0.78125000,-17.53950119,-72.50047146,54.96097027
0.78125000,-21.36754990,-72.50047146,51.13292156
0.78125000,-17.14086533,-72.50047146,55.35960613
0.78125000,-19.84453201,-72.50047146,52.65593945
0.78125000,-19.18935776,-72.50047146,53.31111370
0.78125000,-18.44930649,-72.50047146,54.05116497
0.78125000,-19.89030838,-72.50047146,52.61016308
0.78125000,-16.27492905,-72.50047146,56.22554241
0.78125000,-19.29044724,-72.50047146,53.21002422
0.78125000,-20.89452744,-72.50047146,51.60594402
0.78125000,-20.06196976,-72.50047146,52.43850170
0.78125000,-21.26073837,-72.50047146,51.23973309
0.78125000,-18.43690872,-72.50047146,54.06356274
0.78125000,-16.81470871,-72.50047146,55.68576275
0.78125000,-23.43034744,-72.50047146,49.07012402
0.78125000,-19.65093613,-72.50047146,52.84953533
0.78125000,-21.86346054,-72.50047146,50.63701092
0.81250000,-31.33344650,-76.62701070,45.29356420
0.81250000,-29.38508987,-76.62701070,47.24192083
0.81250000,-31.19993210,-76.62701070,45.42707860
0.81250000,-30.71737289,-76.62701070,45.90963781
0.81250000,-27.90021896,-76.62701070,48.72679174
0.81250000,-32.20129013,-76.62701070,44.42572057
0.81250000,-31.64815903,-76.62701070,44.97885167
0.81250000,-29.48999405,-76.62701070,47.13701665
0.81250000,-29.80756760,-76.62701070,46.81944310
0.81250000,-30.04693985,-76.62701070,46.58007085
0.81250000,-30.04598618,-76.62701070,46.58102453
0.81250000,-27.44245529,-76.62701070,49.18455541
0.81250000,-28.89966965,-76.62701070,47.72734105
0.81250000,-28.67174149,-76.62701070,47.95526922
0.81250000,-29.93631363,-76.62701070,46.69069707
0.81250000,-28.80525589,-76.62701070,47.82175481
0.81250000,-27.09054947,-76.62701070,49.53646123
0.81250000,-32.91177750,-76.62701070,43.71523320
0.81250000,-27.81438828,-76.62701070,48.81262243
0.81250000,-25.51221848,-76.62701070,51.11479223
0.81250000,-27.02379227,-76.62701070,49.60321843
0.81250000,-30.97486496,-76.62701070,45.65214574
