x_elem2,fe_raw_meVatom,offset_stage1_meVatom,fe_stage1_meVatom,shift_stage2_meVatom,fe_final_meVatom
0.78125000,-48.91061783,-78.49194382,29.58132599,24.68456272,54.26588871
0.78125000,-44.97003555,-78.49194382,33.52190826,24.68456272,58.20647099
0.78125000,-44.27385330,-78.49194382,34.21809052,24.68456272,58.90265324
0.78125000,-44.55232620,-78.49194382,33.93961761,24.68456272,58.62418034
0.78125000,-45.52698135,-78.49194382,32.96496246,24.68456272,57.64952519
0.78125000,-44.18516159,-78.49194382,34.30678223,24.68456272,58.99134495
0.78125000,-42.61159897,-78.49194382,35.88034485,24.68456272,60.56490757
0.78125000,-43.60151291,-78.49194382,34.89043091,24.68456272,59.57499363
0.78125000,-40.01855850,-78.49194382,38.47338532,24.68456272,63.15794804
0.78125000,-43.77222061,-78.49194382,34.71972321,24.68456272,59.40428593
0.78125000,-44.56281662,-78.49194382,33.92912720,24.68456272,58.61368992
0.78125000,-47.86348343,-78.49194382,30.62846039,24.68456272,55.31302311
0.78125000,-45.62425613,-78.49194382,32.86768768,24.68456272,57.55225041
0.78125000,-45.30477524,-78.49194382,33.18716858,24.68456272,57.87173130
0.78125000,-45.82738876,-78.49194382,32.66455505,24.68456272,57.34911778
0.78125000,-43.42985153,-78.49194382,35.06209229,24.68456272,59.74665501
0.78125000,-49.09276962,-78.49194382,29.39917419,24.68456272,54.08373692
0.78125000,-45.66335678,-78.49194382,32.82858704,24.68456272,57.51314976
0.78125000,-43.69211197,-78.49194382,34.79983185,24.68456272,59.48439457
0.78125000,-45.35150528,-78.49194382,33.14043854,24.68456272,57.82500126
0.78125000,-47.56689072,-78.49194382,30.92505310,24.68456272,55.60961583
0.78125000,-47.60026932,-78.49194382,30.89167450,24.68456272,55.57623722
0.78125000,-46.71621323,-78.49194382,31.77573059,24.68456272,56.46029332
0.78125000,-44.83175278,-78.49194382,33.66019104,24.68456272,58.34475376
0.78125000,-44.60096359,-78.49194382,33.89098022,24.68456272,58.57554295
0.78125000,-46.10013962,-78.49194382,32.39180420,24.68456272,57.07636692
0.78125000,-46.60463333,-78.49194382,31.88731049,24.68456272,56.57187321
0.78125000,-44.12984848,-78.49194382,34.36209534,24.68456272,59.04665806
0.78125000,-45.44305801,-78.49194382,33.04888580,24.68456272,57.73344853
0.78125000,-47.79005051,-78.49194382,30.70189331,24.68456272,55.38645604
0.78125000,-42.38271713,-78.49194382,36.10922668,24.68456272,60.79378941
0.78125000,-44.75355148,-78.49194382,33.73839233,24.68456272,58.42295506
0.78125000,-46.34714127,-78.49194382,32.14480255,24.68456272,56.82936528
0.78125000,-43.35451126,-78.49194382,35.13743256,24.68456272,59.82199528
0.78125000,-48.66456985,-78.49194382,29.82737396,24.68456272,54.51193669
0.78125000,-46.44823074,-78.49194382,32.04371307,24.68456272,56.72827580
0.78125000,-45.86362839,-78.49194382,32.62831543,24.68456272,57.31287815
0.78125000,-43.77794266,-78.49194382,34.71400116,24.68456272,59.39856388
0.78125000,-43.55669022,-78.49194382,34.93525360,24.68456272,59.61981633
0.78125000,-45.14360428,-78.49194382,33.34833954,24.68456272,58.03290226
0.78125000,-44.78120804,-78.49194382,33.71073578,24.68456272,58.39529850
0.78125000,-45.20082474,-78.49194382,33.29111908,24.68456272,57.97568180
0.78125000,-41.44716263,-78.49194382,37.04478119,24.68456272,61.72934391
0.78125000,-48.20108414,-78.49194382,30.29085968,24.68456272,54.97542240
0.78125000,-46.64468765,-78.49194382,31.84725616,24.68456272,56.53181889
0.78125000,-47.00899124,-78.49194382,31.48295258,24.68456272,56.16751530
0.78125000,-49.07083511,-78.49194382,29.42110870,24.68456272,54.10567143
0.78125000,-45.89509964,-78.49194382,32.59684418,24.68456272,57.28140690
0.78125000,-47.75094986,-78.49194382,30.74099396,24.68456272,55.42555668
0.78125000,-42.55342484,-78.49194382,35.93851898,24.68456272,60.62308171
0.78125000,-45.79782486,-78.49194382,32.69411896,24.68456272,57.37868168
0.78125000,-42.09947586,-78.49194382,36.39246796,24.68456272,61.07703068
0.78125000,-43.53570938,-78.49194382,34.95623444,24.68456272,59.64079716
0.78125000,-47.79577255,-78.49194382,30.69617126,24.68456272,55.38073399
0.78125000,-48.10953140,-78.49194382,30.38241241,24.68456272,55.06697514
0.78125000,-46.65803909,-78.49194382,31.83390472,24.68456272,56.51846745
0.78125000,-45.44687271,-78.49194382,33.04507111,24.68456272,57.72963383
0.78125000,-40.08913040,-78.49194382,38.40281342,24.68456272,63.08737614
0.78125000,-47.66130447,-78.49194382,30.83063934,24.68456272,55.51520207
0.78125000,-46.68378830,-78.49194382,31.80815552,24.68456272,56.49271824
0.78125000,-41.89825058,-78.49194382,36.59369324,24.68456272,61.27825596
0.78125000,-41.25070572,-78.49194382,37.24123810,24.68456272,61.92580082
0.78125000,-49.49808121,-78.49194382,28.99386261,24.68456272,53.67842533
0.78125000,-46.12207413,-78.49194382,32.36986969,24.68456272,57.05443241
0.78125000,-40.66896439,-78.49194382,37.82297943,24.68456272,62.50754216
0.78125000,-47.33991623,-78.49194382,31.15202759,24.68456272,55.83659031
0.78125000,-41.05329514,-78.49194382,37.43864868,24.68456272,62.12321141
0.78125000,-42.69552231,-78.49194382,35.79642151,24.68456272,60.48098423
0.78125000,-45.73202133,-78.49194382,32.75992249,24.68456272,57.44448521
0.78125000,-43.20764542,-78.49194382,35.28429840,24.68456272,59.96886113
0.78125000,-42.45901108,-78.49194382,36.03293274,24.68456272,60.71749546
0.78125000,-43.22099686,-78.49194382,35.27094696,24.68456272,59.95550969
0.78125000,-45.31908035,-78.49194382,33.17286346,24.68456272,57.85742619
0.78125000,-46.42057419,-78.49194382,32.07136963,24.68456272,56.75593235
0.78125000,-46.39291763,-78.49194382,32.09902618,24.68456272,56.78358891
0.78125000,-47.32465744,-78.49194382,31.16728638,24.68456272,55.85184910
0.78125000,-42.69170761,-78.49194382,35.80023621,24.68456272,60.48479893
0.78125000,-43.96677017,-78.49194382,34.52517365,24.68456272,59.20973637
0.78125000,-43.23530197,-78.49194382,35.25664185,24.68456272,59.94120457
0.78125000,-43.92766953,-78.49194382,34.56427429,24.68456272,59.24883702
0.81250000,-52.33359337,-82.10069398,29.76710061,24.99511820,54.76221881
0.81250000,-52.66165733,-82.10069398,29.43903665,24.99511820,54.43415485
0.81250000,-51.91588402,-82.10069398,30.18480996,24.99511820,55.17992816
0.81250000,-53.43508720,-82.10069398,28.66560678,24.99511820,53.66072497
0.81250000,-50.52447319,-82.10069398,31.57622079,24.99511820,56.57133899
0.81250000,-53.05361748,-82.10069398,29.04707650,24.99511820,54.04219470
0.81250000,-52.32405663,-82.10069398,29.77663735,24.99511820,54.77175555
0.81250000,-54.28957939,-82.10069398,27.81111459,24.99511820,52.80623279
0.81250000,-50.47774315,-82.10069398,31.62295083,24.99511820,56.61806903
0.81250000,-51.24258995,-82.10069398,30.85810403,24.99511820,55.85322223
0.81250000,-54.33154106,-82.10069398,27.76915292,24.99511820,52.76427112
0.81250000,-55.90701103,-82.10069398,26.19368295,24.99511820,51.18880115
0.81250000,-52.25634575,-82.10069398,29.84434823,24.99511820,54.83946643
0.81250000,-52.41847038,-82.10069398,29.68222360,24.99511820,54.67734180
0.81250000,-52.98876762,-82.10069398,29.11192636,24.99511820,54.10704455
0.81250000,-51.66888237,-82.10069398,30.43181161,24.99511820,55.42692981
0.81250000,-54.17609215,-82.10069398,27.92460183,24.99511820,52.91972003
0.81250000,-49.23129082,-82.10069398,32.86940316,24.99511820,57.86452136
0.81250000,-50.77528954,-82.10069398,31.32540444,24.99511820,56.32052264
0.81250000,-54.73685265,-82.10069398,27.36384133,24.99511820,52.35895953
0.81250000,-51.89108849,-82.10069398,30.20960549,24.99511820,55.20472369
0.81250000,-51.68700218,-82.10069398,30.41369180,24.99511820,55.40881000
0.81250000,-50.31561852,-82.10069398,31.78507547,24.99511820,56.78019366
0.81250000,-53.40456963,-82.10069398,28.69612435,24.99511820,53.69124255
0.81250000,-53.30061913,-82.10069398,28.80007485,24.99511820,53.79519305
0.81250000,-54.13413048,-82.10069398,27.96656350,24.99511820,52.96168170
0.81250000,-53.08699608,-82.10069398,29.01369790,24.99511820,54.00881610
0.81250000,-53.11560631,-82.10069398,28.98508767,24.99511820,53.98020587
0.81250000,-49.61562157,-82.10069398,32.48507241,24.99511820,57.48019061
0.81250000,-51.50294304,-82.10069398,30.59775094,24.99511820,55.59286914
0.81250000,-50.78864098,-82.10069398,31.31205300,24.99511820,56.30717120
0.81250000,-48.84028435,-82.10069398,33.26040963,24.99511820,58.25552783
0.81250000,-51.37705803,-82.10069398,30.72363595,24.99511820,55.71875415
0.81250000,-53.00402641,-82.10069398,29.09666757,24.99511820,54.09178577
0.81250000,-51.14150047,-82.10069398,30.95919351,24.99511820,55.95431171
0.81250000,-52.34217644,-82.10069398,29.75851754,24.99511820,54.75363574
0.81250000,-53.96533012,-82.10069398,28.13536386,24.99511820,53.13048205
0.81250000,-49.40485954,-82.10069398,32.69583444,24.99511820,57.69095264
0.81250000,-49.27706718,-82.10069398,32.82362680,24.99511820,57.81874499
0.81250000,-51.22637749,-82.10069398,30.87431649,24.99511820,55.86943469
0.81250000,-53.09271812,-82.10069398,29.00797586,24.99511820,54.00309405
0.81250000,-52.33359337,-82.10069398,29.76710061,24.99511820,54.76221881
0.81250000,-50.53305626,-82.10069398,31.56763772,24.99511820,56.56275592
0.81250000,-48.10595512,-82.10069398,33.99473886,24.99511820,58.98985705
0.81250000,-50.16493797,-82.10069398,31.93575601,24.99511820,56.93087421
0.81250000,-55.23943901,-82.10069398,26.86125497,24.99511820,51.85637317
0.81250000,-54.23903465,-82.10069398,27.86165933,24.99511820,52.85677753
0.81250000,-52.09612846,-82.10069398,30.00456552,24.99511820,54.99968371
0.81250000,-50.44817924,-82.10069398,31.65251474,24.99511820,56.64763293
0.81250000,-48.99668694,-82.10069398,33.10400704,24.99511820,58.09912524
0.81250000,-50.72379112,-82.10069398,31.37690286,24.99511820,56.37202106
0.81250000,-51.57160759,-82.10069398,30.52908639,24.99511820,55.52420459
0.81250000,-49.54504967,-82.10069398,32.55564431,24.99511820,57.55076251
0.81250000,-52.17528343,-82.10069398,29.92541055,24.99511820,54.92052875
0.81250000,-50.34136772,-82.10069398,31.75932626,24.99511820,56.75444446
0.81250000,-53.37786674,-82.10069398,28.72282724,24.99511820,53.71794543
