system,element,total_energy_eV,energy_eV_per_atom,outcar
bcc_HfNb,Hf,-1274.04192767,-9.953452559921875,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Hf/Hf128/case-1/N0.OUTCAR
bcc_HfNb,Nb,-1305.76943519,-10.201323712421875,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfNb/Nb/Nb128/case-1/N1.OUTCAR
bcc_HfTa,Hf,-1274.04190959,-9.953452418671874,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfTa/Hf/Hf128/case-1/N0.OUTCAR
bcc_HfTa,Ta,-1490.81875357,-11.647021512265624,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfTa/Ta/Ta128/case-1/N0.OUTCAR
bcc_HfTi,Hf,-1274.04162143,-9.953450167421876,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfTi/Hf/Hf128/case-1/N1.OUTCAR
bcc_HfTi,Ti,-1009.84596411,-7.889421594609375,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_HfTi/Ti/Ti128/case-1/N0.OUTCAR
bcc_NbTa,Nb,-1306.61793281,-10.207952600078125,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbTa/Nb/Nb128/case-1/OUTCAR
bcc_NbTa,Ta,-1517.40653779,-11.854738576484374,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbTa/Ta/Ta128/case-1/OUTCAR
bcc_NbTi,Nb,-1305.49193978,-10.19915577953125,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbTi/Nb/Nb128/case-1/N1.OUTCAR
bcc_NbTi,Ti,-1009.84587683,-7.889420912734375,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbTi/Ti/Ti128/case-1/N0.OUTCAR
bcc_NbV,Nb,-1306.61793281,-10.207952600078125,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbV/Nb/Nb128/case-1/OUTCAR
bcc_NbV,V,-1167.27123926,-9.11930655671875,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbV/V/V128/case-1/OUTCAR
bcc_NbZr,Nb,-1306.61797449,-10.207952925703125,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Nb/Nb128/case-1/N0.OUTCAR
bcc_NbZr,Zr,-1517.40654195,-11.854738608984375,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_NbZr/Zr/Zr128/case-1/N0.OUTCAR
bcc_TaTi,Ta,-1490.94943062,-11.64804242671875,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_TaTi/Ta/Ta128/case-1/N1.OUTCAR
bcc_TaTi,Ti,-1009.84603023,-7.889422111171875,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_TaTi/Ti/Ti128/case-1/N0.OUTCAR
bcc_TaV,Ta,-1517.40653779,-11.854738576484374,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_TaV/Ta/Ta128/case-1/OUTCAR
bcc_TaV,V,-1167.27123926,-9.11930655671875,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_TaV/V/V128/case-1/OUTCAR
bcc_TaZr,Ta,-1517.40654188,-11.8547386084375,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_TaZr/Ta/Ta128/case-1/N0.OUTCAR
bcc_TaZr,Zr,-1517.40654195,-11.854738608984375,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_TaZr/Zr/Zr128/case-1/N0.OUTCAR
bcc_VZr,V,-1170.39061811,-9.143676703984376,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_VZr/V/V128/case-1/OUTCAR
bcc_VZr,Zr,-1167.27124164,-9.1193065753125,/lustre/orion/lrn070/world-shared/mlupopa/RHEAs_HydraGNN/HydraGNN/examples/vasp_solid_solution_alloys/dataset/bcc_VZr/Zr/Zr128/case-1/N0.OUTCAR
